firstlabel_group,prdlstReportNo,prdlstNm,prdkind,manufacture,seller,rawmtrl,allergy,nutrient,barcode,capacity,productGb,imgurl1,imgurl2,prdkindstate,rnum,group_rule,embedding_text
과자,201904962715,설화눈꽃팝김부각스낵,과자,남원혼불부각,,"찹쌀,김,참깨,옥수수기름(옥배유),양파,무,대파,천일염,마늘,새우,멸치,다시마,건표고버섯,둥굴레,감초,정제수",없음,,,,식품,http://www.haccp.or.kr/fresh/prdimg/2019/201904962715/201904962715-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2019/201904962715/201904962715-2.jpg,낱개 및 세트박스 포장,1,품목유형: 과자,제품명: 설화눈꽃팝김부각스낵 | 카테고리: 과자
과자,201904962712,설화눈꽃팝김부각스낵 아몬드맛,과자,남원혼불부각,,"찹쌀,김,참깨,옥수수기름(옥배유),아몬드,양파,무,천일염,대파,마늘,새우,멸치,다시마,건표고버섯,둥굴레,감초,정제수",아몬드,,,,식품,http://www.haccp.or.kr/fresh/prdimg/2019/201904962712/201904962712-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2019/201904962712/201904962712-2.jpg,낱개 및 세트박스 포장,2,품목유형: 과자,제품명: 설화눈꽃팝김부각스낵 아몬드맛 | 카테고리: 과자
과자,201904962711,눈꽃팝김부각스낵,과자,남원혼불부각,남원혼불부각,"찹쌀,김,참깨,옥수수기름(옥배유),양파,무,대파,천일염,마늘,새우,멸치,다시마,건표고버섯,둥굴레,감초,정제수",없음,"찹쌀(국산)45%,김(국산)25%,옥수수유(외국산), 참깨,양파,무,대파,마늘,천일염,새우,멸치,다시마,건표고버섯,둥글레,감초,정제수",,,식품,http://www.haccp.or.kr/fresh/prdimg/2019/201904962711/201904962711-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2019/201904962711/201904962711-2.jpg,낱개 및 세트박스 포장,3,품목유형: 과자,제품명: 눈꽃팝김부각스낵 | 카테고리: 과자
과자,201804424055,바삭하고 고소한 우유팝콘,과자류(유처리제품),예그린,예그린,"옥수수,우유농축액,야자유,정제소금,합성착향료버터향",우유,"열량 270.22 kcal, 나트륨 115.5mg(6%),탄수화물44.3g(14%), 당류17.6g(18%),지방 8.4g(16%),트랜스지방 0g,포화지방5.9g(39%), 콜레스테롤4.9mg(2%), 단백질 4.3g(8%) ",8809990005420,,식품,http://www.haccp.or.kr/fresh/prdimg/2018/201804424055/201804424055-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/201804424055/201804424055-2.png,60g/1개,8,품목유형: 과자,제품명: 바삭하고 고소한 우유팝콘 | 카테고리: 과자류(유처리제품)
과자,201804424053,고소하고 매콤 달콤한 고추 팝콘,과자류(유처리제품),예그린,예그린,"옥수수,사과발효액,고추발효액,야자유,정제소금,합성착향료버터향",없음,"열량 278 kcal, 나트륨 128.4mg(7%),탄수화물43.10g(13%), 당류15.45g(16%), 지방10.12g(19%),트랜스지방 0g,포화지방7.34g(49%),콜레스테롤0g,단백질3.6g(7%)",8809990005413,,식품,http://www.haccp.or.kr/fresh/prdimg/2018/201804424053/201804424053-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/201804424053/201804424053-2.png,60g/1개,9,품목유형: 과자,제품명: 고소하고 매콤 달콤한 고추 팝콘 | 카테고리: 과자류(유처리제품)
과자,201804424052,충주 사과 팝콘,과자류(유처리제품),예그린,예그린,"옥수수,사과발효액,야자유,정제소금,정제소금,합성착향료(버터향)",없음,"열량 293kcal, 나트륨 132.9mg(7%), 탄수화물 41.50g(13%), 당류 12.4g(12%), 지방 12.6g(23%),트랜스지방 0g, 포화지방 5.1g(34%), 콜레스테롤 0g, 단백질 3.2g(6%)",8809990005406,,식품,http://www.haccp.or.kr/fresh/prdimg/2018/201804424052/201804424052-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/201804424052/201804424052-2.png,60g/1개,10,품목유형: 과자,제품명: 충주 사과 팝콘 | 카테고리: 과자류(유처리제품)
과자,201700809299,흑미초코쿠키,과자류,(팩토리)더브레드블루,,"흑미가루,마가린,코팅초콜릿,슈가파우더,식물성크림,정제소금",대두,,,,식품,http://www.haccp.or.kr/fresh/prdimg/2017/201700809299/201700809299-1.png,http://www.haccp.or.kr/fresh/prdimg/2017/201700809299/201700809299-2.png,실온,115,품목유형: 과자,제품명: 흑미초코쿠키 | 카테고리: 과자류
빵류,201700809298,초코머핀,빵류,(팩토리)더브레드블루,,"밀가루,정제수,초코플레이크,설탕,정제미강유,카카오분말,베이킹파우더",밀,,,,식품,http://www.haccp.or.kr/fresh/prdimg/2017/201700809298/201700809298-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/201700809298/201700809298-2.jpg,실온,116,품목유형: 빵,제품명: 초코머핀 | 카테고리: 빵류
빵류,2017008092967,당근케이크(냉동),빵류,(팩토리)더브레드블루,,"식물성크림,당근,두유,밀가루,설탕,마가린,물엿,분리대두단백,호두분태,웰가에스피,베이킹파우더,정제소금,계피가루","밀,대두,호두",,,,식품,http://www.haccp.or.kr/fresh/prdimg/2017/2017008092967/2017008092967-1.png,http://www.haccp.or.kr/fresh/prdimg/2017/2017008092967/2017008092967-2.png,냉동,117,품목유형: 빵,제품명: 당근케이크(냉동) | 카테고리: 빵류
빵류,2017008092963,당근케이크,빵류,(팩토리)더브레드블루,,"두유,식물성크림,식물성유지,설탕,분말셀룰로오스,유화제,식염,당근,밀가루,설탕,물엿,쌀눈유,분리대두단백,호두분태,웰가에스피,베이킹파우더,피스타치오견과,정제소금,계피가루,콘스타치(고시형)","밀,대두,호두",,,,식품,http://www.haccp.or.kr/fresh/prdimg/2017/2017008092963/2017008092963-1.png,http://www.haccp.or.kr/fresh/prdimg/2017/2017008092963/2017008092963-2.png,실온,118,품목유형: 빵,제품명: 당근케이크 | 카테고리: 빵류
빵류,2017008092960,우리밀식빵,빵류,더브레드블루,,"밀가루,정제수,쌀눈유,사탕수수가루,효모,곡류가공품,정제소금",밀,,,,식품,http://www.haccp.or.kr/fresh/prdimg/2017/2017008092960/2017008092960-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017008092960/2017008092960-2.jpg,실온,119,품목유형: 빵,제품명: 우리밀식빵 | 카테고리: 빵류
빵류,201700809295,블루베리머핀,빵류,더브레드블루,,"밀가루,정제수,사탕수수가루,블루베리파이필링,블루베리,정제수,설탕,변성전분,구연산,쌀눈유,냉동블루베리,베이킹파우더",밀,,,,식품,http://www.haccp.or.kr/fresh/prdimg/2017/201700809295/201700809295-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/201700809295/201700809295-2.jpg,실온,120,품목유형: 빵,제품명: 블루베리머핀 | 카테고리: 빵류
빵류,2017008092949,르방 매콤한 치아바타,빵류,(팩토리)더브레드블루,,"밀가루,정제수,할라피뇨,블랙올리브,양파,올리브유,정제소금,당류가공품,효모",밀,,,,식품,http://www.haccp.or.kr/fresh/prdimg/2017/2017008092949/2017008092949-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017008092949/2017008092949-2.jpg,실온,121,품목유형: 빵,제품명: 르방 매콤한 치아바타 | 카테고리: 빵류
빵류,2017008092940,초코식빵,빵류,더브레드블루,,"밀가루,정제수,두유,서양호박,다크초콜릿컴파운드칩,쌀눈유,사탕수수가루,초콜릿류,곡류가공품,효모,정제소금,콘스타치(고시형)","밀,대두",,,,식품,http://www.haccp.or.kr/fresh/prdimg/2017/2017008092940/2017008092940-1.png,http://www.haccp.or.kr/fresh/prdimg/2017/2017008092940/2017008092940-2.png,실온,122,품목유형: 빵,제품명: 초코식빵 | 카테고리: 빵류
빵류,201700809294,유기농 통밀100,빵류,더브레드블루,,"통밀가루,정제수,정제소금,맥아엑기스,효모",밀,,,,식품,http://www.haccp.or.kr/fresh/prdimg/2017/201700809294/201700809294-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/201700809294/201700809294-2.jpg,실온,123,품목유형: 빵,제품명: 유기농 통밀100 | 카테고리: 빵류
빵류,2017008092937,르방 통밀발효종빵,빵류,더브레드블루,,"정제수,밀가루,통밀가루,강력쌀가루,건조덩굴월귤,쌀눈유,호두분태,아몬드슬라이스,검은콩|검은깨,정제소금,당류가공품,인스턴트이스트","밀,호두",,,,식품,http://www.haccp.or.kr/fresh/prdimg/2017/2017008092937/2017008092937-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017008092937/2017008092937-2.jpg,실온,124,품목유형: 빵,제품명: 르방 통밀발효종빵 | 카테고리: 빵류
과자,2017008092936,초코칩쿠키,과자류,(팩토리)더브레드블루,,"밀가루,마가린,아몬드분말,슈가파우더,코코아분말,아몬드슬라이스,정제소금","밀,대두",,,,식품,http://www.haccp.or.kr/fresh/prdimg/2017/2017008092936/2017008092936-1.png,http://www.haccp.or.kr/fresh/prdimg/2017/2017008092936/2017008092936-2.png,실온,125,품목유형: 과자,제품명: 초코칩쿠키 | 카테고리: 과자류
